"room1","room2","code","room1.use","room1.area","room1.occupancy","room2.use","room2.area","room2.occupancy","ACPH.1.2","ACPH.2.1","air.volume.moved"
"corridor","Plaza",11,"corridor",60,NA,"foyer",486,NA,0.0740740740740741,0.6,108
"female.toilets.1","Plaza",1,"female toilets",10,4,"foyer",486,NA,0.0102880658436214,0.5,15
"female.toilets.2","Plaza",1,"female toilets",10,4,"foyer",486,NA,0.0102880658436214,0.5,15
"foyer1","Lobby.Bar",11,"foyer",30,NA,"bar",80,80,0.421875,1.125,101.25
"foyer1","Internet.Cafe",11,"foyer",30,NA,"recreation",80,40,0.421875,1.125,101.25
"foyer1","Plaza",100,"foyer",30,NA,"foyer",486,NA,0.185185185185185,3,270
"foyer1","lift1",11,"foyer",30,NA,"lift",5,8,2.175,0.3625,32.625
"foyer1","lift2",11,"foyer",30,NA,"lift",5,8,2.7,0.45,40.5
"foyer1","lift3",11,"foyer",30,NA,"lift",5,8,0.6,0.1,9
"foyer1","lift4",11,"foyer",30,NA,"lift",5,8,2.7,0.45,40.5
"foyer1","lift5",11,"foyer",30,NA,"lift",5,8,1.125,0.1875,16.875
"laundromat","open.area.1",11,"facility",10,12,"recreation",50,NA,0.33,1.65,49.5
"Library","Plaza",11,"recreation",80,40,"foyer",486,NA,0.271604938271605,1.65,396
"male.toilets.1","Plaza",1,"male toilets",10,4,"foyer",486,NA,0.0102880658436214,0.5,15
"male.toilets.2","Plaza",1,"male toilets",10,4,"foyer",486,NA,0.0102880658436214,0.5,15
"P200","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P201","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P202","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P203","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P204","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P205","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P206","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P207","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P208","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P209","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P210","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P211","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P212","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P214","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P215","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P216","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
