room,area,use,occupancy,note
P200,16,cabin,4,
P201,16,cabin,4,
P202,16,cabin,4,
P203,16,cabin,4,
P204,16,cabin,4,
P205,16,cabin,4,
P206,16,cabin,4,
P207,16,cabin,4,
P208,16,cabin,4,
P209,16,cabin,4,
P210,16,cabin,4,
P211,16,cabin,4,
P212,16,cabin,4,
P214,16,cabin,4,
P215,16,cabin,4,
P216,16,cabin,4,
P217,16,cabin,4,
P218,16,cabin,4,
P219,16,cabin,4,
P220,16,cabin,4,
P221,16,cabin,4,
P222,16,cabin,4,
P223,16,cabin,4,
P224,16,cabin,4,
P225,16,cabin,4,
P226,16,cabin,4,
P227,16,cabin,4,
P228,16,cabin,4,
P229,16,cabin,4,
P230,16,cabin,4,
P231,16,cabin,4,
P232,16,cabin,4,
P233,16,cabin,4,
P234,16,cabin,4,
P235,16,cabin,4,
P236,16,cabin,4,
P237,16,cabin,4,
P238,16,cabin,4,
P239,16,cabin,4,
P240,16,cabin,4,
P241,16,cabin,4,
P242,16,cabin,4,
P243,16,cabin,4,
P244,16,cabin,4,
P245,16,cabin,4,
P246,16,cabin,4,
P247,16,cabin,4,
P248,16,cabin,4,
P249,16,cabin,4,
P250,16,cabin,4,
P251,16,cabin,4,
P252,16,cabin,4,
P253,16,cabin,4,
P254,16,cabin,4,
P255,16,cabin,4,
P256,16,cabin,4,
P257,16,cabin,4,
P258,16,cabin,4,
P259,16,cabin,4,
P260,16,cabin,4,
P261,16,cabin,4,
P262,16,cabin,4,
P263,16,cabin,4,
P264,16,cabin,4,
P265,16,cabin,4,
P266,16,cabin,4,
P267,16,cabin,4,
P268,16,cabin,4,
P269,16,cabin,4,
P270,16,cabin,4,
P271,16,cabin,4,
P272,16,cabin,4,
P273,16,cabin,4,
P274,16,cabin,4,
P275,16,cabin,4,
P276,16,cabin,4,
P277,16,cabin,4,
P278,16,cabin,4,
P279,16,cabin,4,
P280,16,cabin,4,
P281,16,cabin,4,
P282,16,cabin,4,
P283,16,cabin,4,
P284,16,cabin,4,
P285,16,cabin,4,
P286,16,cabin,4,
P287,16,cabin,4,
P288,16,cabin,4,
P289,16,cabin,4,
P290,16,cabin,4,
P291,16,cabin,4,
P292,16,cabin,4,
P293,16,cabin,4,
P294,16,cabin,4,
P295,16,cabin,4,
P296,16,cabin,4,
P297,16,cabin,4,
P298,16,cabin,4,
P299,16,cabin,4,
P300,16,cabin,4,
P301,16,cabin,4,
P302,16,cabin,4,
P303,16,cabin,4,
P304,16,cabin,4,
P305,16,cabin,4,
P306,16,cabin,4,
P307,16,cabin,4,
P308,16,cabin,4,
P309,16,cabin,4,
P310,16,cabin,4,
P311,16,cabin,4,
P312,16,cabin,4,
P314,16,cabin,4,
P315,16,cabin,4,
P316,16,cabin,4,
P317,16,cabin,4,
P318,16,cabin,4,
P319,16,cabin,4,
P320,16,cabin,4,
P321,16,cabin,4,
P322,16,cabin,4,
P323,16,cabin,4,
P324,16,cabin,4,
P325,16,cabin,4,
P326,16,cabin,4,
P327,16,cabin,4,
P328,16,cabin,4,
P329,16,cabin,4,
P330,16,cabin,4,
P331,16,cabin,4,
P332,16,cabin,4,
P333,16,cabin,4,
P334,16,cabin,4,
P335,16,cabin,4,
P336,16,cabin,4,
P337,16,cabin,4,
corridor,60,corridor,,
savoy.dining.room,486,dining,136,
vivaldi.dining.room,486,dining,136,
foyer1,30,foyer, ,
male.toilets.1,10,male toilets,4,
female.toilets.1,10,female toilets,4,
male.toilets.2,10,male toilets,4,
female.toilets.2,10,female toilets,4,
Lobby.Bar,80,bar,80,
Internet.Cafe,80,recreation,40,
Library,80,recreation,40,
Plaza,486,foyer, ,
Art.Gallery,112,recreation,40,
lift1,5,lift,8,
lift2,5,lift,8,
lift3,5,lift,8,
lift4,5,lift,8,
lift5,5,lift,8,
laundromat,10,facility,12,
open.area.1,50,recreation, , not open air deck on this level - laudromat off of this area
