"","room1","room2","code","room1.use","room1.area","room1.occupancy","room2.use","room2.area","room2.occupancy","ACPH.1.2","ACPH.2.1","air.volume.moved"
"1","L4.37","L4.68b",100,"stair well",80.6,0,"corridor",21.63,0,3,0.805086848635236,194.67
"2","L4.68b","L4.63",100,"corridor",21.63,0,"kitchen",197.8,0,0.328058645096057,3,194.67
"3","L5.06","L5.33",100,"meeting room",17.92,10,"stair well",91.33,0,0.588634621701522,3,161.28
"4","L5.08","L5.69c",10,"office",22.96,2,"open plan",97.28,8,0.389432565789474,1.65,113.652
"5","L5.26a","L5.26b",10,"meeting room",93.17,20,"office",20.73,2,2.7,0.600740581732317,167.913
"6","L5.26a","L5.33",10,"meeting room",93.17,20,"stair well",91.33,0,2.175,2.1320462595256,595.92825
"7","L5.31","L5.32",100,"foyer",61.83,0,"reception",10.73,1,3,0.520621057738962,96.57
"8","L5.31","L5.33",2,"foyer",61.83,0,"stair well",91.33,0,0.338497755392533,0.5,92.745
"9","L5.31","L5.39",10,"foyer",61.83,0,"meeting room",11.73,6,1.65,0.313027656477438,58.0635
"10","L5.31","L5.40",10,"foyer",61.83,0,"meeting room",11.74,6,2.7,0.512663755458515,95.094
"11","L5.31","L5.70a",100,"foyer",61.83,0,"corridor",33.33,0,3,1.61717612809316,299.97
"12","L5.31","L5.71a",100,"foyer",61.83,0,"corridor",16.01,0,3,0.77680737506065,144.09
"13","L5.31","L4.L1",2,"foyer",61.83,0,"lift",3.71,0,0.5,0.0300016173378619,5.565
"14","L5.31","L4.L2",2,"foyer",61.83,0,"lift",3.71,0,0.5,0.0300016173378619,5.565
"15","L5.31","L4.L3",2,"foyer",61.83,0,"lift",3.71,0,0.5,0.0300016173378619,5.565
"16","L5.32","L5.36",10,"reception",10.73,1,"office",15.12,2,1.91607142857143,2.7,86.913
"17","L5.33","L5.34",10,"stair well",91.33,0,"alcove",34.34,0,2.7,1.01519763495018,278.154
"18","L5.33","L5.70b",100,"stair well",91.33,0,"corridor",33.84,0,3,1.11157341508814,304.56
"19","L5.33","L5.37",10,"stair well",91.33,0,"meeting room",18.25,8,2.175,0.434618964195774,119.08125
