room,use,volume,ventilation_out,ventilation_in
G1,gallery,2695,2025,0
G2,gallery,3185,2025,0
G3,gallery,3675,2025,0
G4,gallery,1752,2025,0
G5,gallery,1197,904,0
G5_BDR,classroom,437,648,0
G6,gallery,1307,2106,0
G7,gallery,2415,2106,0
G8,gallery,3296,2458,0
cafe,cafe,472,1886,0
dr_G1,drum_segment,118,0,0
dr_G2,drum_segment,125,0,0
dr_G3,drum_segment,143,0,0
dr_G4,drum_segment,136,0,0
dr_G5,drum_segment,136,0,0
dr_G6,drum_segment,271,0,0
dr_G7,drum_segment,100,0,0
dr_G7M,drum_segment,136,0,0
foyer,foyer,5880,4608,0
h_G1,hvac,1,0,2160
h_G2,hvac,1,0,2160
h_G3,hvac,1,0,2160
h_G4,hvac,1,0,2160
h_G5,hvac,1,0,914
h_G5_BDR,hvac,1,0,648
h_G6,hvac,1,0,2160
h_G7,hvac,1,0,2160
h_G8,hvac,1,0,1800
h_cafe,hvac,1,0,1886
h_foyer,hvac,1,0,4608
h_japan_thtr,hvac,1,0,864
japan_thtr,theatre,1134,864,0
