from,to,volume
G1,dr_G1,225.0
G1,h_G1,19440.0
G2,dr_G2,225.0
G2,h_G2,19440.0
G3,dr_G3,225.0
G3,h_G3,19440.0
G4,dr_G4,225.0
G4,h_G4,19440.0
G5,dr_G5,100.0
G5,h_G5,8230.0
G5_BDR,h_G5_BDR,5832.0
G6,dr_G6,234.0
G6,h_G6,19440.0
G7,dr_G7,117.0
G7,dr_G7M,117.0
G7,h_G7,19440.0
G8,dr_G1,90.0
G8,dr_G2,90.0
G8,dr_G3,90.0
G8,dr_G4,90.0
G8,dr_G5,90.0
G8,dr_G6,180.0
G8,dr_G7,90.0
G8,dr_G7M,90.0
G8,foyer,180.0
G8,h_G8,16200.0
cafe,h_cafe,16978.0
dr_G1,G1,90.0
dr_G1,G8,225.0
dr_G2,G2,90.0
dr_G2,G8,225.0
dr_G3,G3,90.0
dr_G3,G8,225.0
dr_G4,G4,90.0
dr_G4,G8,225.0
dr_G5,G5,90.0
dr_G5,G8,100.0
dr_G6,G6,180.0
dr_G6,G8,234.0
dr_G7,G7,90.0
dr_G7,G8,117.0
dr_G7M,G7,90.0
dr_G7M,G8,117.0
foyer,G8,180.0
foyer,h_foyer,41472.0
h_G1,G1,21600.0
h_G2,G2,21600.0
h_G3,G3,21600.0
h_G4,G4,21600.0
h_G5,G5,9144.0
h_G5_BDR,G5_BDR,6480.0
h_G6,G6,21600.0
h_G7,G7,21600.0
h_G8,G8,18000.0
h_cafe,cafe,18864.0
h_foyer,foyer,46080.0
h_japan_thtr,japan_thtr,8640.0
japan_thtr,h_japan_thtr,7776.0
